Sample #,Ithd,LSL,USL,Average,IHD 2nd Order,LSL,USL,Average,IHD 3rd Order,LSL,USL,Average,IHD 4th Order,LSL,USL,Average,IHD 5th Order,LSL,USL,Average,IHD 6th Order,LSL,USL,Average,IHD 7th Order,LSL,USL,Average,IHD 8th Order,LSL,USL,Average,IHD 9th Order,LSL,USL,Average,IHD 10th Order,LSL,USL,Average,IHD 11th Order,LSL,USL,Average,IHD 12th Order,LSL,USL,Average,IHD 13th Order,LSL,USL,Average,IHD 14th Order,LSL,USL,Average,IHD 15th Order,LSL,USL,Average,IHD 16th Order,LSL,USL,Average,IHD 17th Order,LSL,USL,Average,IHD 18th Order,LSL,USL,Average,IHD 19th Order,LSL,USL,Average,IHD 20th Order,LSL,USL,Average,IHD 21st Order,LSL,USL,Average,IHD 22nd Order,LSL,USL,Average,IHD 23rd Order,LSL,USL,Average,IHD 24th Order,LSL,USL,Average,IHD 25th Order,LSL,USL,Average,IHD 26th Order,LSL,USL,Average,IHD 27th Order,LSL,USL,Average,IHD 28th Order,LSL,USL,Average,IHD 29th Order,LSL,USL,Average,IHD 30th Order,LSL,USL,Average,IHD 31st Order,LSL,USL,Average,IHD 32nd Order,LSL,USL,Average,IHD 33rd Order,LSL,USL,Average,IHD 34th Order,LSL,USL,Average,IHD 35th Order,LSL,USL,Average,IHD 36th Order,LSL,USL,Average,IHD 37th Order,LSL,USL,Average,IHD 38th Order,LSL,USL,Average,IHD 39th Order,LSL,USL,Average,IHD 40th Order,LSL,USL,Average
1,2.48,0,5,1.941,0.739,0,1,0.4794,0.514,0,4,0.61925,0.557,0,1,0.2261,0.254,0,4,0.2937,0.408,0,1,0.158675,0.235,0,4,0.218625,0.278,0,1,0.109925,0.274,0,4,0.216125,0.178,0,1,0.07155,0.283,0,2,0.223475,0.106,0,0.5,0.045375,0.274,0,2,0.220525,0.062,0,0.5,0.02785,0.259,0,2,0.216025,0.034,0,0.5,0.019825,0.24,0,1.5,0.21,0.024,0,0.375,0.0164,0.23,0,1.5,0.2,0.019,0,0.375,0.015125,0.216,0,1.5,0.195225,0.019,0,0.375,0.013825,0.202,0,0.6,0.186475,0.014,0,0.15,0.012775,0.178,0,0.6,0.163225,0.014,0,0.15,0.0133,0.163,0,0.6,0.146525,0.01,0,0.15,0.013875,0.13,0,0.6,0.12755,0.01,0,0.15,0.015175,0.106,0,0.6,0.110325,0.01,0,0.15,0.016875,0.139,0,0.6,0.111125,0.01,0,0.15,0.018675,0.211,0,0.3,0.164725,0.01,0,0.075,0.020625,0.269,0,0.3,0.2034,0.014,0,0.075,0.019475,0.25,0,0.3,0.171925,0.01,0,0.075,0.0164
2,2.2,0,5,1.941,0.648,0,1,0.4794,0.576,0,4,0.61925,0.422,0,1,0.2261,0.302,0,4,0.2937,0.312,0,1,0.158675,0.197,0,4,0.218625,0.221,0,1,0.109925,0.202,0,4,0.216125,0.144,0,1,0.07155,0.221,0,2,0.223475,0.091,0,0.5,0.045375,0.226,0,2,0.220525,0.053,0,0.5,0.02785,0.235,0,2,0.216025,0.029,0,0.5,0.019825,0.23,0,1.5,0.21,0.019,0,0.375,0.0164,0.216,0,1.5,0.2,0.014,0,0.375,0.015125,0.202,0,1.5,0.195225,0.014,0,0.375,0.013825,0.192,0,0.6,0.186475,0.01,0,0.15,0.012775,0.163,0,0.6,0.163225,0.01,0,0.15,0.0133,0.144,0,0.6,0.146525,0.01,0,0.15,0.013875,0.13,0,0.6,0.12755,0.005,0,0.15,0.015175,0.115,0,0.6,0.110325,0.005,0,0.15,0.016875,0.13,0,0.6,0.111125,0.01,0,0.15,0.018675,0.226,0,0.3,0.164725,0.014,0,0.075,0.020625,0.293,0,0.3,0.2034,0.014,0,0.075,0.019475,0.25,0,0.3,0.171925,0.01,0,0.075,0.0164
3,1.81,0,5,1.941,0.528,0,1,0.4794,0.562,0,4,0.61925,0.25,0,1,0.2261,0.254,0,4,0.2937,0.187,0,1,0.158675,0.182,0,4,0.218625,0.13,0,1,0.109925,0.187,0,4,0.216125,0.086,0,1,0.07155,0.192,0,2,0.223475,0.058,0,0.5,0.045375,0.197,0,2,0.220525,0.038,0,0.5,0.02785,0.202,0,2,0.216025,0.024,0,0.5,0.019825,0.197,0,1.5,0.21,0.019,0,0.375,0.0164,0.197,0,1.5,0.2,0.019,0,0.375,0.015125,0.192,0,1.5,0.195225,0.019,0,0.375,0.013825,0.192,0,0.6,0.186475,0.014,0,0.15,0.012775,0.173,0,0.6,0.163225,0.014,0,0.15,0.0133,0.144,0,0.6,0.146525,0.019,0,0.15,0.013875,0.134,0,0.6,0.12755,0.019,0,0.15,0.015175,0.11,0,0.6,0.110325,0.024,0,0.15,0.016875,0.11,0,0.6,0.111125,0.029,0,0.15,0.018675,0.149,0,0.3,0.164725,0.029,0,0.075,0.020625,0.187,0,0.3,0.2034,0.029,0,0.075,0.019475,0.154,0,0.3,0.171925,0.024,0,0.075,0.0164
4,1.8,0,5,1.941,0.427,0,1,0.4794,0.605,0,4,0.61925,0.106,0,1,0.2261,0.293,0,4,0.2937,0.067,0,1,0.158675,0.221,0,4,0.218625,0.048,0,1,0.109925,0.206,0,4,0.216125,0.034,0,1,0.07155,0.211,0,2,0.223475,0.029,0,0.5,0.045375,0.197,0,2,0.220525,0.024,0,0.5,0.02785,0.197,0,2,0.216025,0.019,0,0.5,0.019825,0.192,0,1.5,0.21,0.019,0,0.375,0.0164,0.182,0,1.5,0.2,0.014,0,0.375,0.015125,0.178,0,1.5,0.195225,0.014,0,0.375,0.013825,0.168,0,0.6,0.186475,0.014,0,0.15,0.012775,0.134,0,0.6,0.163225,0.014,0,0.15,0.0133,0.12,0,0.6,0.146525,0.01,0,0.15,0.013875,0.11,0,0.6,0.12755,0.01,0,0.15,0.015175,0.106,0,0.6,0.110325,0.01,0,0.15,0.016875,0.101,0,0.6,0.111125,0.01,0,0.15,0.018675,0.173,0,0.3,0.164725,0.014,0,0.075,0.020625,0.24,0,0.3,0.2034,0.01,0,0.075,0.019475,0.182,0,0.3,0.171925,0.01,0,0.075,0.0164
5,2.52,0,5,1.941,0.773,0,1,0.4794,0.6,0,4,0.61925,0.523,0,1,0.2261,0.288,0,4,0.2937,0.389,0,1,0.158675,0.24,0,4,0.218625,0.269,0,1,0.109925,0.264,0,4,0.216125,0.173,0,1,0.07155,0.264,0,2,0.223475,0.101,0,0.5,0.045375,0.264,0,2,0.220525,0.058,0,0.5,0.02785,0.25,0,2,0.216025,0.029,0,0.5,0.019825,0.235,0,1.5,0.21,0.019,0,0.375,0.0164,0.221,0,1.5,0.2,0.014,0,0.375,0.015125,0.216,0,1.5,0.195225,0.014,0,0.375,0.013825,0.202,0,0.6,0.186475,0.01,0,0.15,0.012775,0.178,0,0.6,0.163225,0.01,0,0.15,0.0133,0.158,0,0.6,0.146525,0.01,0,0.15,0.013875,0.134,0,0.6,0.12755,0.01,0,0.15,0.015175,0.115,0,0.6,0.110325,0.01,0,0.15,0.016875,0.125,0,0.6,0.111125,0.01,0,0.15,0.018675,0.211,0,0.3,0.164725,0.01,0,0.075,0.020625,0.288,0,0.3,0.2034,0.014,0,0.075,0.019475,0.235,0,0.3,0.171925,0.01,0,0.075,0.0164
6,1.74,0,5,1.941,0.37,0,1,0.4794,0.538,0,4,0.61925,0.197,0,1,0.2261,0.226,0,4,0.2937,0.139,0,1,0.158675,0.178,0,4,0.218625,0.101,0,1,0.109925,0.182,0,4,0.216125,0.067,0,1,0.07155,0.178,0,2,0.223475,0.043,0,0.5,0.045375,0.192,0,2,0.220525,0.024,0,0.5,0.02785,0.197,0,2,0.216025,0.019,0,0.5,0.019825,0.197,0,1.5,0.21,0.01,0,0.375,0.0164,0.187,0,1.5,0.2,0.01,0,0.375,0.015125,0.192,0,1.5,0.195225,0.014,0,0.375,0.013825,0.187,0,0.6,0.186475,0.014,0,0.15,0.012775,0.163,0,0.6,0.163225,0.01,0,0.15,0.0133,0.139,0,0.6,0.146525,0.014,0,0.15,0.013875,0.139,0,0.6,0.12755,0.014,0,0.15,0.015175,0.115,0,0.6,0.110325,0.014,0,0.15,0.016875,0.13,0,0.6,0.111125,0.014,0,0.15,0.018675,0.216,0,0.3,0.164725,0.014,0,0.075,0.020625,0.298,0,0.3,0.2034,0.014,0,0.075,0.019475,0.226,0,0.3,0.171925,0.014,0,0.075,0.0164
7,1.94,0,5,1.941,0.413,0,1,0.4794,0.658,0,4,0.61925,0.062,0,1,0.2261,0.322,0,4,0.2937,0.034,0,1,0.158675,0.259,0,4,0.218625,0.029,0,1,0.109925,0.245,0,4,0.216125,0.029,0,1,0.07155,0.24,0,2,0.223475,0.024,0,0.5,0.045375,0.235,0,2,0.220525,0.019,0,0.5,0.02785,0.226,0,2,0.216025,0.019,0,0.5,0.019825,0.23,0,1.5,0.21,0.019,0,0.375,0.0164,0.226,0,1.5,0.2,0.019,0,0.375,0.015125,0.221,0,1.5,0.195225,0.019,0,0.375,0.013825,0.206,0,0.6,0.186475,0.014,0,0.15,0.012775,0.192,0,0.6,0.163225,0.014,0,0.15,0.0133,0.173,0,0.6,0.146525,0.014,0,0.15,0.013875,0.144,0,0.6,0.12755,0.01,0,0.15,0.015175,0.13,0,0.6,0.110325,0.01,0,0.15,0.016875,0.125,0,0.6,0.111125,0.01,0,0.15,0.018675,0.182,0,0.3,0.164725,0.014,0,0.075,0.020625,0.259,0,0.3,0.2034,0.014,0,0.075,0.019475,0.216,0,0.3,0.171925,0.01,0,0.075,0.0164
8,2.11,0,5,1.941,0.605,0,1,0.4794,0.648,0,4,0.61925,0.336,0,1,0.2261,0.269,0,4,0.2937,0.25,0,1,0.158675,0.182,0,4,0.218625,0.173,0,1,0.109925,0.192,0,4,0.216125,0.115,0,1,0.07155,0.202,0,2,0.223475,0.072,0,0.5,0.045375,0.211,0,2,0.220525,0.043,0,0.5,0.02785,0.216,0,2,0.216025,0.029,0,0.5,0.019825,0.211,0,1.5,0.21,0.019,0,0.375,0.0164,0.216,0,1.5,0.2,0.019,0,0.375,0.015125,0.211,0,1.5,0.195225,0.014,0,0.375,0.013825,0.206,0,0.6,0.186475,0.014,0,0.15,0.012775,0.182,0,0.6,0.163225,0.014,0,0.15,0.0133,0.168,0,0.6,0.146525,0.01,0,0.15,0.013875,0.139,0,0.6,0.12755,0.01,0,0.15,0.015175,0.125,0,0.6,0.110325,0.01,0,0.15,0.016875,0.144,0,0.6,0.111125,0.01,0,0.15,0.018675,0.211,0,0.3,0.164725,0.01,0,0.075,0.020625,0.283,0,0.3,0.2034,0.01,0,0.075,0.019475,0.283,0,0.3,0.171925,0.01,0,0.075,0.0164
9,1.9,0,5,1.941,0.446,0,1,0.4794,0.739,0,4,0.61925,0.067,0,1,0.2261,0.322,0,4,0.2937,0.038,0,1,0.158675,0.254,0,4,0.218625,0.034,0,1,0.109925,0.24,0,4,0.216125,0.034,0,1,0.07155,0.235,0,2,0.223475,0.029,0,0.5,0.045375,0.226,0,2,0.220525,0.024,0,0.5,0.02785,0.216,0,2,0.216025,0.024,0,0.5,0.019825,0.211,0,1.5,0.21,0.019,0,0.375,0.0164,0.197,0,1.5,0.2,0.019,0,0.375,0.015125,0.187,0,1.5,0.195225,0.014,0,0.375,0.013825,0.182,0,0.6,0.186475,0.014,0,0.15,0.012775,0.154,0,0.6,0.163225,0.014,0,0.15,0.0133,0.139,0,0.6,0.146525,0.014,0,0.15,0.013875,0.11,0,0.6,0.12755,0.01,0,0.15,0.015175,0.11,0,0.6,0.110325,0.01,0,0.15,0.016875,0.101,0,0.6,0.111125,0.01,0,0.15,0.018675,0.216,0,0.3,0.164725,0.014,0,0.075,0.020625,0.245,0,0.3,0.2034,0.01,0,0.075,0.019475,0.197,0,0.3,0.171925,0.01,0,0.075,0.0164
10,1.84,0,5,1.941,0.418,0,1,0.4794,0.687,0,4,0.61925,0.139,0,1,0.2261,0.293,0,4,0.2937,0.101,0,1,0.158675,0.216,0,4,0.218625,0.077,0,1,0.109925,0.197,0,4,0.216125,0.053,0,1,0.07155,0.197,0,2,0.223475,0.038,0,0.5,0.045375,0.202,0,2,0.220525,0.029,0,0.5,0.02785,0.206,0,2,0.216025,0.024,0,0.5,0.019825,0.206,0,1.5,0.21,0.019,0,0.375,0.0164,0.197,0,1.5,0.2,0.019,0,0.375,0.015125,0.206,0,1.5,0.195225,0.019,0,0.375,0.013825,0.202,0,0.6,0.186475,0.019,0,0.15,0.012775,0.163,0,0.6,0.163225,0.019,0,0.15,0.0133,0.158,0,0.6,0.146525,0.014,0,0.15,0.013875,0.134,0,0.6,0.12755,0.014,0,0.15,0.015175,0.125,0,0.6,0.110325,0.014,0,0.15,0.016875,0.106,0,0.6,0.111125,0.01,0,0.15,0.018675,0.163,0,0.3,0.164725,0.014,0,0.075,0.020625,0.197,0,0.3,0.2034,0.014,0,0.075,0.019475,0.178,0,0.3,0.171925,0.01,0,0.075,0.0164
11,2.12,0,5,1.941,0.547,0,1,0.4794,0.586,0,4,0.61925,0.379,0,1,0.2261,0.298,0,4,0.2937,0.274,0,1,0.158675,0.206,0,4,0.218625,0.192,0,1,0.109925,0.206,0,4,0.216125,0.12,0,1,0.07155,0.226,0,2,0.223475,0.072,0,0.5,0.045375,0.23,0,2,0.220525,0.038,0,0.5,0.02785,0.23,0,2,0.216025,0.024,0,0.5,0.019825,0.226,0,1.5,0.21,0.019,0,0.375,0.0164,0.216,0,1.5,0.2,0.014,0,0.375,0.015125,0.216,0,1.5,0.195225,0.01,0,0.375,0.013825,0.197,0,0.6,0.186475,0.01,0,0.15,0.012775,0.192,0,0.6,0.163225,0.01,0,0.15,0.0133,0.173,0,0.6,0.146525,0.01,0,0.15,0.013875,0.144,0,0.6,0.12755,0.01,0,0.15,0.015175,0.11,0,0.6,0.110325,0.005,0,0.15,0.016875,0.125,0,0.6,0.111125,0.01,0,0.15,0.018675,0.202,0,0.3,0.164725,0.014,0,0.075,0.020625,0.235,0,0.3,0.2034,0.014,0,0.075,0.019475,0.211,0,0.3,0.171925,0.01,0,0.075,0.0164
12,2.33,0,5,1.941,0.648,0,1,0.4794,0.648,0,4,0.61925,0.456,0,1,0.2261,0.283,0,4,0.2937,0.326,0,1,0.158675,0.23,0,4,0.218625,0.221,0,1,0.109925,0.24,0,4,0.216125,0.139,0,1,0.07155,0.245,0,2,0.223475,0.086,0,0.5,0.045375,0.245,0,2,0.220525,0.048,0,0.5,0.02785,0.235,0,2,0.216025,0.029,0,0.5,0.019825,0.235,0,1.5,0.21,0.024,0,0.375,0.0164,0.23,0,1.5,0.2,0.019,0,0.375,0.015125,0.221,0,1.5,0.195225,0.019,0,0.375,0.013825,0.206,0,0.6,0.186475,0.019,0,0.15,0.012775,0.187,0,0.6,0.163225,0.029,0,0.15,0.0133,0.168,0,0.6,0.146525,0.034,0,0.15,0.013875,0.149,0,0.6,0.12755,0.038,0,0.15,0.015175,0.13,0,0.6,0.110325,0.043,0,0.15,0.016875,0.12,0,0.6,0.111125,0.043,0,0.15,0.018675,0.192,0,0.3,0.164725,0.043,0,0.075,0.020625,0.25,0,0.3,0.2034,0.038,0,0.075,0.019475,0.23,0,0.3,0.171925,0.034,0,0.075,0.0164
13,1.89,0,5,1.941,0.36,0,1,0.4794,0.73,0,4,0.61925,0.058,0,1,0.2261,0.322,0,4,0.2937,0.038,0,1,0.158675,0.245,0,4,0.218625,0.029,0,1,0.109925,0.226,0,4,0.216125,0.019,0,1,0.07155,0.226,0,2,0.223475,0.014,0,0.5,0.045375,0.216,0,2,0.220525,0.01,0,0.5,0.02785,0.211,0,2,0.216025,0.01,0,0.5,0.019825,0.211,0,1.5,0.21,0.01,0,0.375,0.0164,0.202,0,1.5,0.2,0.01,0,0.375,0.015125,0.206,0,1.5,0.195225,0.005,0,0.375,0.013825,0.197,0,0.6,0.186475,0.005,0,0.15,0.012775,0.168,0,0.6,0.163225,0.005,0,0.15,0.0133,0.149,0,0.6,0.146525,0.005,0,0.15,0.013875,0.144,0,0.6,0.12755,0.005,0,0.15,0.015175,0.12,0,0.6,0.110325,0.005,0,0.15,0.016875,0.115,0,0.6,0.111125,0.005,0,0.15,0.018675,0.158,0,0.3,0.164725,0.01,0,0.075,0.020625,0.221,0,0.3,0.2034,0.01,0,0.075,0.019475,0.187,0,0.3,0.171925,0.01,0,0.075,0.0164
14,2.3,0,5,1.941,0.73,0,1,0.4794,0.648,0,4,0.61925,0.47,0,1,0.2261,0.307,0,4,0.2937,0.322,0,1,0.158675,0.216,0,4,0.218625,0.206,0,1,0.109925,0.245,0,4,0.216125,0.125,0,1,0.07155,0.264,0,2,0.223475,0.072,0,0.5,0.045375,0.259,0,2,0.220525,0.043,0,0.5,0.02785,0.25,0,2,0.216025,0.024,0,0.5,0.019825,0.24,0,1.5,0.21,0.014,0,0.375,0.0164,0.221,0,1.5,0.2,0.01,0,0.375,0.015125,0.211,0,1.5,0.195225,0.01,0,0.375,0.013825,0.202,0,0.6,0.186475,0.01,0,0.15,0.012775,0.192,0,0.6,0.163225,0.005,0,0.15,0.0133,0.168,0,0.6,0.146525,0.005,0,0.15,0.013875,0.144,0,0.6,0.12755,0.005,0,0.15,0.015175,0.101,0,0.6,0.110325,0.005,0,0.15,0.016875,0.115,0,0.6,0.111125,0.005,0,0.15,0.018675,0.144,0,0.3,0.164725,0.005,0,0.075,0.020625,0.173,0,0.3,0.2034,0.005,0,0.075,0.019475,0.139,0,0.3,0.171925,0.005,0,0.075,0.0164
15,2.21,0,5,1.941,0.682,0,1,0.4794,0.533,0,4,0.61925,0.461,0,1,0.2261,0.25,0,4,0.2937,0.331,0,1,0.158675,0.202,0,4,0.218625,0.23,0,1,0.109925,0.221,0,4,0.216125,0.149,0,1,0.07155,0.23,0,2,0.223475,0.091,0,0.5,0.045375,0.235,0,2,0.220525,0.048,0,0.5,0.02785,0.23,0,2,0.216025,0.029,0,0.5,0.019825,0.226,0,1.5,0.21,0.024,0,0.375,0.0164,0.211,0,1.5,0.2,0.019,0,0.375,0.015125,0.211,0,1.5,0.195225,0.019,0,0.375,0.013825,0.197,0,0.6,0.186475,0.014,0,0.15,0.012775,0.182,0,0.6,0.163225,0.014,0,0.15,0.0133,0.163,0,0.6,0.146525,0.014,0,0.15,0.013875,0.13,0,0.6,0.12755,0.01,0,0.15,0.015175,0.115,0,0.6,0.110325,0.01,0,0.15,0.016875,0.125,0,0.6,0.111125,0.01,0,0.15,0.018675,0.226,0,0.3,0.164725,0.014,0,0.075,0.020625,0.298,0,0.3,0.2034,0.014,0,0.075,0.019475,0.269,0,0.3,0.171925,0.014,0,0.075,0.0164
16,1.65,0,5,1.941,0.298,0,1,0.4794,0.557,0,4,0.61925,0.082,0,1,0.2261,0.283,0,4,0.2937,0.034,0,1,0.158675,0.235,0,4,0.218625,0.034,0,1,0.109925,0.221,0,4,0.216125,0.019,0,1,0.07155,0.226,0,2,0.223475,0.019,0,0.5,0.045375,0.226,0,2,0.220525,0.014,0,0.5,0.02785,0.226,0,2,0.216025,0.014,0,0.5,0.019825,0.221,0,1.5,0.21,0.014,0,0.375,0.0164,0.216,0,1.5,0.2,0.014,0,0.375,0.015125,0.216,0,1.5,0.195225,0.014,0,0.375,0.013825,0.202,0,0.6,0.186475,0.014,0,0.15,0.012775,0.182,0,0.6,0.163225,0.014,0,0.15,0.0133,0.158,0,0.6,0.146525,0.014,0,0.15,0.013875,0.139,0,0.6,0.12755,0.034,0,0.15,0.015175,0.12,0,0.6,0.110325,0.048,0,0.15,0.016875,0.11,0,0.6,0.111125,0.062,0,0.15,0.018675,0.12,0,0.3,0.164725,0.067,0,0.075,0.020625,0.134,0,0.3,0.2034,0.062,0,0.075,0.019475,0.101,0,0.3,0.171925,0.048,0,0.075,0.0164
17,1.93,0,5,1.941,0.403,0,1,0.4794,0.658,0,4,0.61925,0.053,0,1,0.2261,0.336,0,4,0.2937,0.029,0,1,0.158675,0.254,0,4,0.218625,0.024,0,1,0.109925,0.24,0,4,0.216125,0.019,0,1,0.07155,0.235,0,2,0.223475,0.014,0,0.5,0.045375,0.226,0,2,0.220525,0.014,0,0.5,0.02785,0.216,0,2,0.216025,0.014,0,0.5,0.019825,0.216,0,1.5,0.21,0.01,0,0.375,0.0164,0.206,0,1.5,0.2,0.01,0,0.375,0.015125,0.202,0,1.5,0.195225,0.01,0,0.375,0.013825,0.197,0,0.6,0.186475,0.01,0,0.15,0.012775,0.168,0,0.6,0.163225,0.01,0,0.15,0.0133,0.154,0,0.6,0.146525,0.01,0,0.15,0.013875,0.13,0,0.6,0.12755,0.005,0,0.15,0.015175,0.12,0,0.6,0.110325,0.01,0,0.15,0.016875,0.13,0,0.6,0.111125,0.01,0,0.15,0.018675,0.206,0,0.3,0.164725,0.01,0,0.075,0.020625,0.24,0,0.3,0.2034,0.014,0,0.075,0.019475,0.197,0,0.3,0.171925,0.01,0,0.075,0.0164
18,2.22,0,5,1.941,0.711,0,1,0.4794,0.538,0,4,0.61925,0.514,0,1,0.2261,0.206,0,4,0.2937,0.365,0,1,0.158675,0.182,0,4,0.218625,0.24,0,1,0.109925,0.226,0,4,0.216125,0.149,0,1,0.07155,0.24,0,2,0.223475,0.082,0,0.5,0.045375,0.226,0,2,0.220525,0.048,0,0.5,0.02785,0.221,0,2,0.216025,0.029,0,0.5,0.019825,0.206,0,1.5,0.21,0.019,0,0.375,0.0164,0.187,0,1.5,0.2,0.019,0,0.375,0.015125,0.187,0,1.5,0.195225,0.019,0,0.375,0.013825,0.178,0,0.6,0.186475,0.014,0,0.15,0.012775,0.158,0,0.6,0.163225,0.014,0,0.15,0.0133,0.144,0,0.6,0.146525,0.014,0,0.15,0.013875,0.13,0,0.6,0.12755,0.01,0,0.15,0.015175,0.091,0,0.6,0.110325,0.01,0,0.15,0.016875,0.106,0,0.6,0.111125,0.01,0,0.15,0.018675,0.139,0,0.3,0.164725,0.014,0,0.075,0.020625,0.168,0,0.3,0.2034,0.01,0,0.075,0.019475,0.154,0,0.3,0.171925,0.01,0,0.075,0.0164
19,1.71,0,5,1.941,0.456,0,1,0.4794,0.566,0,4,0.61925,0.144,0,1,0.2261,0.278,0,4,0.2937,0.106,0,1,0.158675,0.173,0,4,0.218625,0.077,0,1,0.109925,0.158,0,4,0.216125,0.053,0,1,0.07155,0.178,0,2,0.223475,0.034,0,0.5,0.045375,0.182,0,2,0.220525,0.024,0,0.5,0.02785,0.192,0,2,0.216025,0.019,0,0.5,0.019825,0.197,0,1.5,0.21,0.019,0,0.375,0.0164,0.182,0,1.5,0.2,0.019,0,0.375,0.015125,0.192,0,1.5,0.195225,0.014,0,0.375,0.013825,0.187,0,0.6,0.186475,0.014,0,0.15,0.012775,0.163,0,0.6,0.163225,0.01,0,0.15,0.0133,0.149,0,0.6,0.146525,0.01,0,0.15,0.013875,0.125,0,0.6,0.12755,0.01,0,0.15,0.015175,0.115,0,0.6,0.110325,0.01,0,0.15,0.016875,0.13,0,0.6,0.111125,0.01,0,0.15,0.018675,0.158,0,0.3,0.164725,0.01,0,0.075,0.020625,0.245,0,0.3,0.2034,0.01,0,0.075,0.019475,0.182,0,0.3,0.171925,0.01,0,0.075,0.0164
